"car_ID","symboling","CarName","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price","CarBrand","BrandAvgPrice","engine_efficiency","is_luxury","fuel_economy_score","car_age"
"1",3,"alfa-romero giulia","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,"alfa-romero",15498.3333333333,0.853846153846154,"No",24,4
"2",3,"alfa-romero stelvio","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,"alfa-romero",15498.3333333333,0.853846153846154,"No",24,4
"3",1,"alfa-romero Quadrifoglio","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,"alfa-romero",15498.3333333333,1.01315789473684,"No",22.5,4
"4",2,"audi 100 ls","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,"audi",17859.1666666667,0.935779816513762,"No",27,4
"5",2,"audi 100ls","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,"audi",17859.1666666667,0.845588235294118,"No",20,4
"6",2,"audi fox","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,"audi",17859.1666666667,0.808823529411765,"No",22,4
"7",1,"audi 100ls","gas","std","four","sedan","fwd","front",105.8,192.7,71.25,55.7,2844,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710,"audi",17859.1666666667,0.808823529411765,"No",22,4
"8",1,"audi 5000","gas","std","four","wagon","fwd","front",105.8,192.7,71.25,55.7,2954,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920,"audi",17859.1666666667,0.808823529411765,"Yes",22,4
"9",1,"audi 4000","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.25,55.9,3086,"ohc","five",131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875,"audi",17859.1666666667,1.06870229007634,"Yes",18.5,4
"11",2,"bmw 320i","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,"bmw",22872.2857142857,0.935185185185185,"No",26,4
"12",0,"bmw 320i","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,"bmw",22872.2857142857,0.935185185185185,"No",26,4
"13",0,"bmw x1","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,"bmw",22872.2857142857,0.73780487804878,"Yes",24.5,4
"14",0,"bmw x3","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,"bmw",22872.2857142857,0.73780487804878,"Yes",24.5,4
"15",1,"bmw z4","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,20,25,24565,"bmw",22872.2857142857,0.73780487804878,"Yes",22.5,4
"17",0,"bmw x5","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,22,30055.5,"bmw",22872.2857142857,0.870813397129187,"Yes",19,4
"18",0,"bmw x3","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,15,20,30055.5,"bmw",22872.2857142857,0.870813397129187,"Yes",17.5,4
"20",1,"chevrolet monte carlo","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,"chevrolet",6435,0.777777777777778,"No",40.5,4
"21",0,"chevrolet vega 2300","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,"chevrolet",6435,0.777777777777778,"No",40.5,4
"22",1,"dodge rampage","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,"dodge",7875.44444444444,0.755555555555556,"No",39,4
"23",1,"dodge challenger se","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,"dodge",7875.44444444444,0.755555555555556,"No",34.5,4
"24",1,"dodge d200","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957,"dodge",7875.44444444444,1.04081632653061,"No",27,4
"25",1,"dodge monaco (sw)","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"dodge",7875.44444444444,0.755555555555556,"No",34.5,4
"26",1,"dodge colt hardtop","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"dodge",7875.44444444444,0.755555555555556,"No",34.5,4
"27",1,"dodge colt (sw)","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"dodge",7875.44444444444,0.755555555555556,"No",34.5,4
"28",1,"dodge coronet custom","gas","turbo","two","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558,"dodge",7875.44444444444,1.04081632653061,"No",27,4
"29",-1,"dodge dart custom","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,"dodge",7875.44444444444,0.721311475409836,"No",27,4
"30",3,"dodge coronet custom (sw)","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","four",156,"mfi",3.6,3.86,7.4,145,5000,19,24,12964,"dodge",7875.44444444444,0.92948717948718,"No",21.5,4
"31",2,"honda civic","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl",2.91,3.41,9.6,58,4800,46.5,47.5,6479,"honda",8184.69230769231,0.630434782608696,"No",47,4
"32",2,"honda civic cvcc","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,"honda",8184.69230769231,0.826086956521739,"No",34.5,4
"33",1,"honda civic","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,"honda",8184.69230769231,0.759493670886076,"No",40,4
"34",1,"honda accord cvcc","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,"honda",8184.69230769231,0.826086956521739,"No",32,4
"35",1,"honda civic cvcc","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,"honda",8184.69230769231,0.826086956521739,"No",32,4
"36",0,"honda accord lx","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,"honda",8184.69230769231,0.826086956521739,"No",32,4
"37",0,"honda civic 1500 gl","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,"honda",8184.69230769231,0.826086956521739,"No",32,4
"38",0,"honda accord","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",217,"1bbl",3.15,3.58,9,86,5800,27,33,7895,"honda",8184.69230769231,0.3963133640553,"No",30,4
"39",0,"honda civic 1300","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,"honda",8184.69230769231,0.781818181818182,"No",30,4
"40",0,"honda prelude","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,"honda",8184.69230769231,0.781818181818182,"No",30,4
"41",0,"honda accord","gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,"honda",8184.69230769231,0.781818181818182,"No",30,4
"42",0,"honda civic","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,"honda",8184.69230769231,0.918181818181818,"No",26,4
"43",1,"honda civic (auto)","gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,"honda",8184.69230769231,0.909090909090909,"No",28,4
"44",0,"isuzu MU-X","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,"isuzu",8916.5,0.702702702702703,"No",26.5,4
