"car_ID","symboling","CarName","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","price","hp_to_weight","segment","CarBrand","BrandAvgPrice"
"1",3,"alfa-romero giulia","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,13495,0.043563579277865,"Standard","alfa-romero",15498.3333333333
"2",3,"alfa-romero stelvio","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,16500,0.043563579277865,"Luxury","alfa-romero",15498.3333333333
"3",1,"alfa-romero Quadrifoglio","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,16500,0.0545518951470067,"Luxury","alfa-romero",15498.3333333333
"4",2,"audi 100 ls","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,13950,0.0436456996148909,"Luxury","audi",17859.1666666667
"5",2,"audi 100ls","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,17450,0.0407223796033994,"Luxury","audi",17859.1666666667
"6",2,"audi fox","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,15250,0.0438771439968089,"Luxury","audi",17859.1666666667
"7",1,"audi 100ls","gas","std","four","sedan","fwd","front",105.8,192.7,71.25,55.7,2844,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,17710,0.0386779184247539,"Luxury","audi",17859.1666666667
"8",1,"audi 5000","gas","std","four","wagon","fwd","front",105.8,192.7,71.25,55.7,2954,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,18920,0.037237643872715,"Luxury","audi",17859.1666666667
"9",1,"audi 4000","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.25,55.9,3086,"ohc","five",131,"mpfi",3.13,3.4,8.3,140,5500,17,23875,0.0453661697990927,"Luxury","audi",17859.1666666667
"11",2,"bmw 320i","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,16430,0.0421711899791232,"Luxury","bmw",22872.2857142857
"12",0,"bmw 320i","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,16925,0.0421711899791232,"Luxury","bmw",22872.2857142857
"13",0,"bmw x1","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,20970,0.0446494464944649,"Luxury","bmw",22872.2857142857
"14",0,"bmw x3","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,21105,0.0437613019891501,"Luxury","bmw",22872.2857142857
"15",1,"bmw z4","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,20,24565,0.039607201309329,"Luxury","bmw",22872.2857142857
"17",0,"bmw x5","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,30055.5,0.0538461538461538,"Luxury","bmw",22872.2857142857
"18",0,"bmw x3","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,15,30055.5,0.051925820256776,"Luxury","bmw",22872.2857142857
"20",1,"chevrolet monte carlo","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,6295,0.0373532550693703,"Economy","chevrolet",6435
"21",0,"chevrolet vega 2300","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,6575,0.036668412781561,"Economy","chevrolet",6435
